dataset,gene_id,locus_tag,gene_symbol,annotation,peak_time_h,corr_p,amplitude_cv,rhythmic_tier,rhythmic_flag
Ito2009,syc0767_c,Synpcc7942_0769,,hypothetical protein,9.8,0.00045,0.3439122655813975,b,True
Ito2009,syc0849_c,Synpcc7942_0680,,similar to sterol C5-desaturase,9.4,0.00061,0.3830818199623325,b,True
Ito2009,syc0882_c,Synpcc7942_0644,cikA,two-component sensor kinase,10.8,0.0002,0.41977960877447373,b,True
Ito2009,syc0942_d,Synpcc7942_0581,,hypothetical protein,10.8,0.00034,0.6664611851239105,b,True
Ito2009,syc0965_d,Synpcc7942_0556,srrB,two-component response regulator  OmpR family,10,0.00095,0.775691167498695,b,True
Ito2009,syc0994_d,Synpcc7942_0527,,,10.6,4e-05,0.5036783089689586,b,True
Ito2009,syc1124_d,Synpcc7942_0391,,hypothetical protein,11,0.00057,0.510889491529992,b,True
Ito2009,syc1131_d,Synpcc7942_0383,,hypothetical protein,9.4,0.0,0.29432897869027475,b,True
Ito2009,syc1137_d,Synpcc7942_0377,,hypothetical protein,0,0.00021,0.25355796523441554,b,True
Ito2009,syc1138_d,Synpcc7942_0376,pqqE,putative zinc protease protein,22.8,0.00093,0.2854453814849101,b,True
Ito2009,syc1139_d,Synpcc7942_0375,ymxG,processing protease,23,0.00026,0.39729848374920623,b,True
Ito2009,syc1142_c,Synpcc7942_0371,metA,homoserine O-succinyltransferase,10.8,0.00037,0.37522513121787093,b,True
Ito2009,syc1143_c,Synpcc7942_0370,metY,O-acetylhomoserine (thiol)-lyase,10.6,0.00061,0.5655686398578749,b,True
Ito2009,syc1144_c,Synpcc7942_0369,,putative flavin-containing monoamine oxidase,10.2,0.00069,0.8534350856331447,b,True
Ito2009,syc1197_d,Synpcc7942_0316,,hypothetical protein,10.4,0.00029,0.4374049358606243,b,True
Ito2009,syc1208_c,Synpcc7942_0304,,hypothetical protein,11,9e-05,0.9346026448221051,b,True
Ito2009,syc1268_d,Synpcc7942_0245,gap1,glyceraldehyde 3-phosphate dehydrogenase,10.6,0.00077,0.9716659219558421,b,True
Ito2009,syc1269_d,Synpcc7942_0244,glgP,glycogen phosphorylase,10.6,0.00071,0.7844011067647964,b,True
Ito2009,syc1309_d,Synpcc7942_0202,ccoN,cb-type cytochrome c oxidase subunit I,10.2,0.00049,0.57103186340385,b,True
Ito2009,syc1310_d,Synpcc7942_0201,,hypothetical protein,10.4,0.00019,0.5002032387733731,b,True
Ito2009,syc1312_d,Synpcc7942_0199,,hypothetical protein,10.6,0.0004,0.44991400941476384,b,True
Ito2009,syc1313_d,Synpcc7942_0198,ndbC,type 2 NADH dehydrogenase,10.6,0.00047,0.5816118795842027,b,True
Ito2009,syc1320_c,Synpcc7942_0191,,soluble hydrogenase 42 kD subunit  DHSS,22,0.00037,0.2612415849324315,b,True
Ito2009,syc1459_c,Synpcc7942_0040,folB,dihydroneopterin aldolase,10.6,0.00028,0.5833825558284319,b,True
Ito2009,syc1460_c,Synpcc7942_0039,gnd,6-phosphogluconate dehydrogenase,10.6,0.00022,0.6954435317788515,b,True
Ito2009,syc1465_d,Synpcc7942_0032,,hypothetical protein,10.8,0.00041,0.31969576575324143,b,True
Ito2009,syc1492_d,Synpcc7942_0005,,hypothetical protein,10.6,4e-05,0.39218256037452354,b,True
Ito2009,syc1493_c,Synpcc7942_0004,purF,amidophosphoribosyltransferase,23.2,0.0,0.34962249061774126,b,True
Ito2009,syc1553_d,Synpcc7942_2557,hoxU,NAD-reducing hydrogenase HoxS gamma subunit,10.4,0.0003,0.7661085437316929,b,True
